Sample_Index,Experiment_Elapsed_s,Trial_Elapsed_s,Timestamp_Epoch,Trial_Index,Trial,Mode,Commanded_Speed,Stage,Middle_Angle,Middle_Force_g,Middle_Force_N,Force_Limit_g,Force_Trigger_g
1,0.000147,0.000000,1772596956.803021,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
2,0.012668,0.012484,1772596956.815542,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
3,0.037401,0.037217,1772596956.840276,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
4,0.049835,0.049652,1772596956.852710,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
5,0.062102,0.061918,1772596956.864976,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
6,0.074550,0.074366,1772596956.877425,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
7,0.086989,0.086805,1772596956.889863,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
8,0.099354,0.099170,1772596956.902228,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
9,0.111817,0.111633,1772596956.914695,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
10,0.124026,0.123842,1772596956.926901,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
11,0.136334,0.136151,1772596956.939209,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
12,0.148675,0.148492,1772596956.951550,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
13,0.161022,0.160838,1772596956.963897,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
14,0.173207,0.173023,1772596956.976082,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
15,0.185580,0.185396,1772596956.988454,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
16,0.197866,0.197682,1772596957.000741,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
17,0.210004,0.209820,1772596957.012879,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
18,0.222209,0.222025,1772596957.025083,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
19,0.234570,0.234386,1772596957.037445,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
20,0.246879,0.246695,1772596957.049754,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
21,0.259021,0.258837,1772596957.061896,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
22,0.271273,0.271089,1772596957.074148,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
23,0.283622,0.283438,1772596957.086497,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
24,0.295934,0.295751,1772596957.098809,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
25,0.308141,0.307957,1772596957.111016,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
26,0.320531,0.320348,1772596957.123406,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
27,0.332855,0.332671,1772596957.135730,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
28,0.345040,0.344856,1772596957.147914,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
29,0.357347,0.357163,1772596957.160222,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
30,0.369802,0.369618,1772596957.172677,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
31,0.381994,0.381810,1772596957.184869,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
32,0.394210,0.394026,1772596957.197084,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
33,0.406631,0.406447,1772596957.209506,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
34,0.418940,0.418756,1772596957.221815,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
35,0.431078,0.430894,1772596957.233952,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
36,0.443298,0.443114,1772596957.246173,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
37,0.455761,0.455578,1772596957.258636,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
38,0.467949,0.467765,1772596957.270824,1,hybrid_01,hybrid,1000,open,999,4,4.0000,500,300
39,0.480164,0.479980,1772596957.283039,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
40,0.492439,0.492255,1772596957.295313,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
41,0.504844,0.504661,1772596957.307719,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
42,2.587766,2.587582,1772596959.390641,1,hybrid_01,hybrid,25,approach,999,4,4.0000,500,300
43,2.600174,2.599990,1772596959.403049,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
44,2.631136,2.630953,1772596959.434011,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
45,2.643527,2.643344,1772596959.446402,1,hybrid_01,hybrid,25,approach,999,4,4.0000,500,300
46,2.655887,2.655703,1772596959.458761,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
47,2.668026,2.667842,1772596959.470901,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
48,2.680291,2.680107,1772596959.483165,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
49,2.692956,2.692772,1772596959.495830,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
50,2.705467,2.705284,1772596959.508342,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
51,2.718097,2.717913,1772596959.520971,1,hybrid_01,hybrid,25,approach,999,4,4.0000,500,300
52,2.730734,2.730550,1772596959.533609,1,hybrid_01,hybrid,25,approach,999,4,4.0000,500,300
53,2.743228,2.743044,1772596959.546103,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
54,2.755921,2.755737,1772596959.558795,1,hybrid_01,hybrid,25,approach,999,4,4.0000,500,300
55,2.768370,2.768186,1772596959.571244,1,hybrid_01,hybrid,25,approach,999,4,4.0000,500,300
56,2.780965,2.780781,1772596959.583840,1,hybrid_01,hybrid,25,approach,999,4,4.0000,500,300
57,2.793445,2.793261,1772596959.596319,1,hybrid_01,hybrid,25,approach,999,4,4.0000,500,300
58,2.806051,2.805867,1772596959.608926,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
59,2.818621,2.818437,1772596959.621496,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
60,2.831205,2.831021,1772596959.634079,1,hybrid_01,hybrid,25,approach,1000,4,4.0000,500,300
61,2.843810,2.843627,1772596959.646685,1,hybrid_01,hybrid,25,approach,998,4,4.0000,500,300
62,2.856257,2.856073,1772596959.659132,1,hybrid_01,hybrid,25,approach,993,6,6.0000,500,300
63,2.868995,2.868811,1772596959.671870,1,hybrid_01,hybrid,25,approach,993,6,6.0000,500,300
64,2.881482,2.881298,1772596959.684357,1,hybrid_01,hybrid,25,approach,993,8,8.0000,500,300
65,2.894066,2.893882,1772596959.696941,1,hybrid_01,hybrid,25,approach,993,9,9.0000,500,300
66,2.906665,2.906482,1772596959.709540,1,hybrid_01,hybrid,25,approach,993,9,9.0000,500,300
67,2.919173,2.918989,1772596959.722048,1,hybrid_01,hybrid,25,approach,991,10,10.0000,500,300
68,2.931784,2.931600,1772596959.734659,1,hybrid_01,hybrid,25,approach,991,12,12.0000,500,300
69,2.944235,2.944051,1772596959.747110,1,hybrid_01,hybrid,25,approach,991,12,12.0000,500,300
70,2.956950,2.956767,1772596959.759825,1,hybrid_01,hybrid,25,approach,990,13,13.0000,500,300
71,2.975769,2.975585,1772596959.778644,1,hybrid_01,hybrid,25,approach,987,13,13.0000,500,300
72,2.988132,2.987948,1772596959.791006,1,hybrid_01,hybrid,25,approach,987,13,13.0000,500,300
73,3.000566,3.000383,1772596959.803441,1,hybrid_01,hybrid,25,approach,985,14,14.0000,500,300
74,3.013086,3.012902,1772596959.815960,1,hybrid_01,hybrid,25,approach,985,16,16.0000,500,300
75,3.025511,3.025327,1772596959.828385,1,hybrid_01,hybrid,25,approach,982,17,17.0000,500,300
76,3.044391,3.044207,1772596959.847265,1,hybrid_01,hybrid,25,approach,981,17,17.0000,500,300
77,3.056908,3.056724,1772596959.859782,1,hybrid_01,hybrid,25,approach,979,18,18.0000,500,300
78,3.069355,3.069171,1772596959.872229,1,hybrid_01,hybrid,25,approach,979,18,18.0000,500,300
79,3.081877,3.081693,1772596959.884752,1,hybrid_01,hybrid,25,approach,979,20,20.0000,500,300
80,3.094259,3.094075,1772596959.897134,1,hybrid_01,hybrid,25,approach,977,21,21.0000,500,300
81,3.106712,3.106528,1772596959.909586,1,hybrid_01,hybrid,25,approach,977,21,21.0000,500,300
82,3.125260,3.125076,1772596959.928134,1,hybrid_01,hybrid,25,approach,976,21,21.0000,500,300
83,3.137692,3.137508,1772596959.940567,1,hybrid_01,hybrid,25,approach,973,21,21.0000,500,300
84,3.149981,3.149797,1772596959.952856,1,hybrid_01,hybrid,25,approach,973,21,21.0000,500,300
85,3.162263,3.162079,1772596959.965137,1,hybrid_01,hybrid,25,approach,971,21,21.0000,500,300
86,3.174698,3.174514,1772596959.977572,1,hybrid_01,hybrid,25,approach,971,21,21.0000,500,300
87,3.193015,3.192831,1772596959.995889,1,hybrid_01,hybrid,25,approach,971,22,22.0000,500,300
88,3.205249,3.205065,1772596960.008124,1,hybrid_01,hybrid,25,approach,970,22,22.0000,500,300
89,3.217597,3.217413,1772596960.020471,1,hybrid_01,hybrid,25,approach,968,22,22.0000,500,300
90,3.236087,3.235903,1772596960.038961,1,hybrid_01,hybrid,25,approach,965,22,22.0000,500,300
91,3.248496,3.248312,1772596960.051370,1,hybrid_01,hybrid,25,approach,964,21,21.0000,500,300
92,3.266992,3.266808,1772596960.069866,1,hybrid_01,hybrid,25,approach,964,21,21.0000,500,300
93,3.279380,3.279197,1772596960.082255,1,hybrid_01,hybrid,25,approach,963,21,21.0000,500,300
94,3.297988,3.297804,1772596960.100863,1,hybrid_01,hybrid,25,approach,962,21,21.0000,500,300
95,3.310347,3.310164,1772596960.113222,1,hybrid_01,hybrid,25,approach,961,21,21.0000,500,300
96,3.328983,3.328799,1772596960.131857,1,hybrid_01,hybrid,25,approach,961,21,21.0000,500,300
97,3.341260,3.341076,1772596960.144135,1,hybrid_01,hybrid,25,approach,958,21,21.0000,500,300
98,3.353764,3.353580,1772596960.156638,1,hybrid_01,hybrid,25,approach,956,21,21.0000,500,300
99,3.366062,3.365878,1772596960.168936,1,hybrid_01,hybrid,25,approach,956,21,21.0000,500,300
100,3.378298,3.378114,1772596960.181173,1,hybrid_01,hybrid,25,approach,956,21,21.0000,500,300
101,3.390773,3.390589,1772596960.193648,1,hybrid_01,hybrid,25,approach,956,22,22.0000,500,300
102,3.403026,3.402843,1772596960.205901,1,hybrid_01,hybrid,25,approach,955,22,22.0000,500,300
103,3.415210,3.415026,1772596960.218085,1,hybrid_01,hybrid,25,approach,953,22,22.0000,500,300
104,3.427595,3.427411,1772596960.230470,1,hybrid_01,hybrid,25,approach,953,22,22.0000,500,300
105,3.439878,3.439694,1772596960.242753,1,hybrid_01,hybrid,25,approach,951,21,21.0000,500,300
106,3.452011,3.451828,1772596960.254886,1,hybrid_01,hybrid,25,approach,951,21,21.0000,500,300
107,3.464445,3.464261,1772596960.267319,1,hybrid_01,hybrid,25,approach,949,21,21.0000,500,300
108,3.483086,3.482902,1772596960.285960,1,hybrid_01,hybrid,25,approach,948,21,21.0000,500,300
109,3.495491,3.495307,1772596960.298366,1,hybrid_01,hybrid,25,approach,946,21,21.0000,500,300
110,3.513994,3.513810,1772596960.316869,1,hybrid_01,hybrid,25,approach,946,21,21.0000,500,300
111,3.526369,3.526185,1772596960.329244,1,hybrid_01,hybrid,25,approach,946,22,22.0000,500,300
112,3.544990,3.544806,1772596960.347865,1,hybrid_01,hybrid,25,approach,945,22,22.0000,500,300
113,3.557345,3.557161,1772596960.360219,1,hybrid_01,hybrid,25,approach,943,22,22.0000,500,300
114,3.569868,3.569684,1772596960.372743,1,hybrid_01,hybrid,25,approach,943,21,21.0000,500,300
115,3.582031,3.581847,1772596960.384906,1,hybrid_01,hybrid,25,approach,941,21,21.0000,500,300
116,3.594321,3.594137,1772596960.397196,1,hybrid_01,hybrid,25,approach,940,21,21.0000,500,300
117,3.606786,3.606602,1772596960.409661,1,hybrid_01,hybrid,25,approach,940,21,21.0000,500,300
118,3.618959,3.618775,1772596960.421834,1,hybrid_01,hybrid,25,approach,938,21,21.0000,500,300
119,3.631152,3.630968,1772596960.434026,1,hybrid_01,hybrid,25,approach,938,21,21.0000,500,300
120,3.643478,3.643294,1772596960.446352,1,hybrid_01,hybrid,25,approach,936,21,21.0000,500,300
121,3.655907,3.655724,1772596960.458782,1,hybrid_01,hybrid,25,approach,935,21,21.0000,500,300
122,3.668046,3.667862,1772596960.470921,1,hybrid_01,hybrid,25,approach,935,21,21.0000,500,300
123,3.680481,3.680297,1772596960.483355,1,hybrid_01,hybrid,25,approach,935,21,21.0000,500,300
124,3.692860,3.692676,1772596960.495735,1,hybrid_01,hybrid,25,approach,934,22,22.0000,500,300
125,3.705058,3.704874,1772596960.507932,1,hybrid_01,hybrid,25,approach,934,22,22.0000,500,300
126,3.717307,3.717123,1772596960.520182,1,hybrid_01,hybrid,25,approach,930,22,22.0000,500,300
127,3.729935,3.729751,1772596960.532810,1,hybrid_01,hybrid,25,approach,930,21,21.0000,500,300
128,3.742406,3.742222,1772596960.545280,1,hybrid_01,hybrid,25,approach,929,21,21.0000,500,300
129,3.755001,3.754817,1772596960.557875,1,hybrid_01,hybrid,25,approach,928,21,21.0000,500,300
130,3.767377,3.767193,1772596960.570252,1,hybrid_01,hybrid,25,approach,928,21,21.0000,500,300
131,3.779976,3.779792,1772596960.582850,1,hybrid_01,hybrid,25,approach,927,21,21.0000,500,300
132,3.792312,3.792128,1772596960.595186,1,hybrid_01,hybrid,25,approach,927,21,21.0000,500,300
133,3.804931,3.804747,1772596960.607805,1,hybrid_01,hybrid,25,approach,926,21,21.0000,500,300
134,3.817214,3.817030,1772596960.620088,1,hybrid_01,hybrid,25,approach,924,21,21.0000,500,300
135,3.829761,3.829577,1772596960.632635,1,hybrid_01,hybrid,25,approach,924,21,21.0000,500,300
136,3.842084,3.841901,1772596960.644959,1,hybrid_01,hybrid,25,approach,924,21,21.0000,500,300
137,3.854548,3.854364,1772596960.657423,1,hybrid_01,hybrid,25,approach,923,22,22.0000,500,300
138,3.867008,3.866824,1772596960.669883,1,hybrid_01,hybrid,25,approach,923,22,22.0000,500,300
139,3.879327,3.879144,1772596960.682202,1,hybrid_01,hybrid,25,approach,919,22,22.0000,500,300
140,3.891927,3.891743,1772596960.694802,1,hybrid_01,hybrid,25,approach,919,22,22.0000,500,300
141,3.904236,3.904052,1772596960.707111,1,hybrid_01,hybrid,25,approach,918,22,22.0000,500,300
142,3.916713,3.916529,1772596960.719588,1,hybrid_01,hybrid,25,approach,918,22,22.0000,500,300
143,3.929086,3.928902,1772596960.731961,1,hybrid_01,hybrid,25,approach,918,21,21.0000,500,300
144,3.941535,3.941352,1772596960.744410,1,hybrid_01,hybrid,25,approach,917,21,21.0000,500,300
145,3.953997,3.953813,1772596960.756871,1,hybrid_01,hybrid,25,approach,914,21,21.0000,500,300
146,3.966360,3.966176,1772596960.769234,1,hybrid_01,hybrid,25,approach,914,21,21.0000,500,300
147,3.978943,3.978759,1772596960.781817,1,hybrid_01,hybrid,25,approach,914,21,21.0000,500,300
148,3.991238,3.991054,1772596960.794113,1,hybrid_01,hybrid,25,approach,914,21,21.0000,500,300
149,4.003776,4.003592,1772596960.806650,1,hybrid_01,hybrid,25,approach,913,21,21.0000,500,300
150,4.016082,4.015899,1772596960.818957,1,hybrid_01,hybrid,25,approach,910,21,21.0000,500,300
151,4.028559,4.028375,1772596960.831434,1,hybrid_01,hybrid,25,approach,910,21,21.0000,500,300
152,4.041016,4.040832,1772596960.843891,1,hybrid_01,hybrid,25,approach,908,21,21.0000,500,300
153,4.053343,4.053159,1772596960.856218,1,hybrid_01,hybrid,25,approach,908,21,21.0000,500,300
154,4.065896,4.065713,1772596960.868771,1,hybrid_01,hybrid,25,approach,908,21,21.0000,500,300
155,4.078182,4.077998,1772596960.881057,1,hybrid_01,hybrid,25,approach,908,21,21.0000,500,300
156,4.090659,4.090475,1772596960.893534,1,hybrid_01,hybrid,25,approach,908,20,20.0000,500,300
157,4.103050,4.102866,1772596960.905925,1,hybrid_01,hybrid,25,approach,905,20,20.0000,500,300
158,4.115478,4.115294,1772596960.918353,1,hybrid_01,hybrid,25,approach,903,20,20.0000,500,300
159,4.127938,4.127754,1772596960.930813,1,hybrid_01,hybrid,25,approach,903,20,20.0000,500,300
160,4.140327,4.140143,1772596960.943202,1,hybrid_01,hybrid,25,approach,902,20,20.0000,500,300
161,4.152888,4.152705,1772596960.955763,1,hybrid_01,hybrid,25,approach,900,20,20.0000,500,300
162,4.165171,4.164987,1772596960.968045,1,hybrid_01,hybrid,25,approach,900,20,20.0000,500,300
163,4.177616,4.177432,1772596960.980491,1,hybrid_01,hybrid,25,approach,899,20,20.0000,500,300
164,4.190076,4.189892,1772596960.992951,1,hybrid_01,hybrid,25,approach,899,20,20.0000,500,300
165,4.202461,4.202277,1772596961.005336,1,hybrid_01,hybrid,25,approach,898,20,20.0000,500,300
166,4.215035,4.214851,1772596961.017910,1,hybrid_01,hybrid,25,approach,896,20,20.0000,500,300
167,4.227345,4.227161,1772596961.030220,1,hybrid_01,hybrid,25,approach,896,20,20.0000,500,300
168,4.239896,4.239712,1772596961.042771,1,hybrid_01,hybrid,25,approach,895,20,20.0000,500,300
169,4.252186,4.252002,1772596961.055061,1,hybrid_01,hybrid,25,approach,894,18,18.0000,500,300
170,4.264664,4.264480,1772596961.067539,1,hybrid_01,hybrid,25,approach,894,18,18.0000,500,300
171,4.277090,4.276907,1772596961.079965,1,hybrid_01,hybrid,25,approach,891,18,18.0000,500,300
172,4.289540,4.289356,1772596961.092415,1,hybrid_01,hybrid,25,approach,891,18,18.0000,500,300
173,4.302081,4.301898,1772596961.104956,1,hybrid_01,hybrid,25,approach,890,18,18.0000,500,300
174,4.314657,4.314473,1772596961.117531,1,hybrid_01,hybrid,25,approach,890,20,20.0000,500,300
175,4.333561,4.333377,1772596961.136436,1,hybrid_01,hybrid,25,approach,887,20,20.0000,500,300
176,4.346064,4.345880,1772596961.148938,1,hybrid_01,hybrid,25,approach,887,20,20.0000,500,300
177,4.358544,4.358360,1772596961.161419,1,hybrid_01,hybrid,25,approach,886,20,20.0000,500,300
178,4.371043,4.370860,1772596961.173918,1,hybrid_01,hybrid,25,approach,886,20,20.0000,500,300
179,4.383392,4.383208,1772596961.186267,1,hybrid_01,hybrid,25,approach,886,20,20.0000,500,300
180,4.395961,4.395777,1772596961.198835,1,hybrid_01,hybrid,25,approach,883,20,20.0000,500,300
181,4.414928,4.414744,1772596961.217803,1,hybrid_01,hybrid,25,approach,882,18,18.0000,500,300
182,4.427287,4.427103,1772596961.230162,1,hybrid_01,hybrid,25,approach,882,18,18.0000,500,300
183,4.439719,4.439535,1772596961.242594,1,hybrid_01,hybrid,25,approach,882,18,18.0000,500,300
184,4.452059,4.451875,1772596961.254934,1,hybrid_01,hybrid,25,approach,881,20,20.0000,500,300
185,4.464519,4.464335,1772596961.267394,1,hybrid_01,hybrid,25,approach,881,20,20.0000,500,300
186,4.476882,4.476699,1772596961.279757,1,hybrid_01,hybrid,25,approach,878,20,20.0000,500,300
187,4.489195,4.489011,1772596961.292070,1,hybrid_01,hybrid,25,approach,878,20,20.0000,500,300
188,4.501635,4.501451,1772596961.304509,1,hybrid_01,hybrid,25,approach,876,20,20.0000,500,300
189,4.513999,4.513815,1772596961.316874,1,hybrid_01,hybrid,25,approach,875,20,20.0000,500,300
190,4.526221,4.526037,1772596961.329096,1,hybrid_01,hybrid,25,approach,875,20,20.0000,500,300
191,4.538699,4.538515,1772596961.341574,1,hybrid_01,hybrid,25,approach,875,20,20.0000,500,300
192,4.551086,4.550902,1772596961.353961,1,hybrid_01,hybrid,25,approach,875,21,21.0000,500,300
