Source_File,Force_Limit_g,Speed_Label,Trial_Index,Trial_Name,Threshold,Reasons
middlefinger_hybrid_force100_20trials_20260303-185957.csv,100,hybrid,3,hybrid_03,3.5,peak_time_s:3.57
middlefinger_hybrid_force100_20trials_20260303-185957.csv,100,hybrid,6,hybrid_06,3.5,peak_time_s:10.71
middlefinger_hybrid_force100_20trials_20260303-185957.csv,100,hybrid,15,hybrid_15,3.5,peak_time_s:7.03
middlefinger_speed25_force100_20trials_20260303-183518.csv,100,speed25,8,speed_08,3.5,peak_time_s:24.37
middlefinger_speed50_force100_20trials_20260303-180533.csv,100,speed50,4,speed_04,3.5,peak_time_s:4.16
middlefinger_speed50_force100_20trials_20260303-180533.csv,100,speed50,14,speed_14,3.5,peak_time_s:6.60
middlefinger_speed50_force100_20trials_20260303-180533.csv,100,speed50,15,speed_15,3.5,peak_time_s:3.75
middlefinger_speed100_force100_20trials_20260303-175333.csv,100,speed100,1,speed_01,3.5,peak_force_g:-3.64;overshoot_g:-3.64
middlefinger_speed100_force100_20trials_20260303-175333.csv,100,speed100,2,speed_02,3.5,peak_time_s:7.37
middlefinger_speed100_force100_20trials_20260303-175333.csv,100,speed100,9,speed_09,3.5,onset_angle:-4.05
middlefinger_speed100_force100_20trials_20260303-175333.csv,100,speed100,19,speed_19,3.5,peak_force_g:-3.78;overshoot_g:-3.78;peak_time_s:3.90
middlefinger_speed250_force100_20trials_20260303-174126.csv,100,speed250,2,speed_02,3.5,peak_force_g:-11.41;overshoot_g:-11.41;peak_time_s:5.12
middlefinger_speed250_force100_20trials_20260303-174126.csv,100,speed250,3,speed_03,3.5,peak_force_g:-9.83;overshoot_g:-9.83;peak_time_s:-3.63
middlefinger_speed250_force100_20trials_20260303-174126.csv,100,speed250,4,speed_04,3.5,peak_time_s:5.46
middlefinger_speed250_force100_20trials_20260303-174126.csv,100,speed250,10,speed_10,3.5,peak_time_s:3.71
middlefinger_speed250_force100_20trials_20260303-174126.csv,100,speed250,11,speed_11,3.5,peak_force_g:-9.80;overshoot_g:-9.80
middlefinger_speed250_force100_20trials_20260303-174126.csv,100,speed250,16,speed_16,3.5,peak_force_g:-10.03;overshoot_g:-10.03
middlefinger_speed250_force100_20trials_20260303-174126.csv,100,speed250,17,speed_17,3.5,peak_time_s:4.37
middlefinger_speed250_force100_20trials_20260303-174126.csv,100,speed250,20,speed_20,3.5,peak_force_g:-9.90;overshoot_g:-9.90
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,2,speed_02,3.5,onset_angle:5.40;peak_time_s:9.63
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,3,speed_03,3.5,peak_time_s:7.89
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,7,speed_07,3.5,peak_force_g:20.75;overshoot_g:20.75
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,8,speed_08,3.5,onset_angle:5.89;peak_force_g:22.81;overshoot_g:22.81
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,9,speed_09,3.5,peak_force_g:24.24;overshoot_g:24.24
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,10,speed_10,3.5,onset_angle:5.89
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,13,speed_13,3.5,onset_angle:5.40;peak_time_s:5.24
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,14,speed_14,3.5,peak_force_g:25.83;overshoot_g:25.83
middlefinger_speed500_force100_20trials_20260303-173158.csv,100,speed500,18,speed_18,3.5,onset_angle:5.89;peak_force_g:25.35;overshoot_g:25.35
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,2,speed_02,3.5,onset_angle:-13.49
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,4,speed_04,3.5,peak_time_s:4.23
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,6,speed_06,3.5,onset_angle:-13.49
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,8,speed_08,3.5,peak_time_s:6.35
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,10,speed_10,3.5,onset_angle:-13.49
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,12,speed_12,3.5,peak_time_s:4.43
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,14,speed_14,3.5,onset_angle:-14.84
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,16,speed_16,3.5,onset_angle:-14.84;peak_time_s:3.89
middlefinger_speed750_force100_20trials_20260303-172149.csv,100,speed750,19,speed_19,3.5,onset_angle:-13.49
middlefinger_speed1000_force100_20trials_20260303-170654.csv,100,speed1000,3,speed_03,3.5,peak_time_s:3.85
middlefinger_speed1000_force100_20trials_20260303-170654.csv,100,speed1000,5,speed_05,3.5,peak_time_s:7.10
middlefinger_speed1000_force100_20trials_20260303-170654.csv,100,speed1000,9,speed_09,3.5,peak_force_g:-3.72;overshoot_g:-3.72
middlefinger_speed1000_force100_20trials_20260303-170654.csv,100,speed1000,18,speed_18,3.5,peak_force_g:-4.19;overshoot_g:-4.19
middlefinger_hybrid_force250_20trials_20260303-185511.csv,250,hybrid,1,hybrid_01,3.5,peak_time_s:5.55
middlefinger_hybrid_force250_20trials_20260303-185511.csv,250,hybrid,4,hybrid_04,3.5,onset_angle:5.40
middlefinger_hybrid_force250_20trials_20260303-185511.csv,250,hybrid,6,hybrid_06,3.5,onset_angle:5.40
middlefinger_hybrid_force250_20trials_20260303-185511.csv,250,hybrid,10,hybrid_10,3.5,onset_angle:5.40
middlefinger_hybrid_force250_20trials_20260303-185511.csv,250,hybrid,12,hybrid_12,3.5,onset_angle:5.40
middlefinger_hybrid_force250_20trials_20260303-185511.csv,250,hybrid,15,hybrid_15,3.5,onset_angle:5.40
middlefinger_speed250_force250_20trials_20260303-173935.csv,250,speed250,2,speed_02,3.5,peak_time_s:9.72
middlefinger_speed250_force250_20trials_20260303-173935.csv,250,speed250,4,speed_04,3.5,onset_angle:37.77
middlefinger_speed250_force250_20trials_20260303-173935.csv,250,speed250,6,speed_06,3.5,onset_angle:5.40
middlefinger_speed250_force250_20trials_20260303-173935.csv,250,speed250,9,speed_09,3.5,onset_angle:43.17
middlefinger_speed250_force250_20trials_20260303-173935.csv,250,speed250,11,speed_11,3.5,onset_angle:37.77
middlefinger_speed250_force250_20trials_20260303-173935.csv,250,speed250,12,speed_12,3.5,onset_angle:37.77
middlefinger_speed250_force250_20trials_20260303-173935.csv,250,speed250,16,speed_16,3.5,onset_angle:-37.77
middlefinger_speed250_force250_20trials_20260303-173935.csv,250,speed250,20,speed_20,3.5,onset_angle:-37.77
middlefinger_speed500_force250_20trials_20260303-173009.csv,250,speed500,2,speed_02,3.5,peak_force_g:5.02;overshoot_g:5.02
middlefinger_speed500_force250_20trials_20260303-173009.csv,250,speed500,6,speed_06,3.5,peak_time_s:4.84
middlefinger_speed500_force250_20trials_20260303-173009.csv,250,speed500,7,speed_07,3.5,peak_time_s:6.14
middlefinger_speed500_force250_20trials_20260303-173009.csv,250,speed500,9,speed_09,3.5,peak_force_g:-5.47;overshoot_g:-5.47
middlefinger_speed500_force250_20trials_20260303-173009.csv,250,speed500,20,speed_20,3.5,peak_time_s:5.04
middlefinger_speed750_force250_20trials_20260303-172019.csv,250,speed750,18,speed_18,3.5,peak_time_s:8.14
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,1,speed_01,3.5,onset_angle:10.45
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,2,speed_02,3.5,peak_time_s:4.35
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,5,speed_05,3.5,peak_time_s:5.57
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,6,speed_06,3.5,onset_angle:10.45
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,8,speed_08,3.5,onset_angle:10.45
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,11,speed_11,3.5,onset_angle:10.45
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,14,speed_14,3.5,onset_angle:10.45
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,18,speed_18,3.5,peak_time_s:11.06
middlefinger_speed1000_force250_20trials_20260303-165917.csv,250,speed1000,20,speed_20,3.5,peak_time_s:3.92
middlefinger_hybrid_force500_20trials_20260303-185150.csv,500,hybrid,2,hybrid_02,3.5,peak_force_g:4.05;overshoot_g:4.05
middlefinger_hybrid_force500_20trials_20260303-185150.csv,500,hybrid,3,hybrid_03,3.5,peak_time_s:6.67
middlefinger_hybrid_force500_20trials_20260303-185150.csv,500,hybrid,9,hybrid_09,3.5,peak_time_s:6.23
middlefinger_hybrid_force500_20trials_20260303-185150.csv,500,hybrid,14,hybrid_14,3.5,peak_time_s:3.81
middlefinger_speed25_force500_20trials_20260303-181431.csv,500,speed25,4,speed_04,3.5,peak_time_s:11.68
middlefinger_speed25_force500_20trials_20260303-181431.csv,500,speed25,10,speed_10,3.5,peak_time_s:5.76
middlefinger_speed25_force500_20trials_20260303-181431.csv,500,speed25,18,speed_18,3.5,peak_force_g:4.98;overshoot_g:4.98
middlefinger_speed50_force500_20trials_20260303-180058.csv,500,speed50,2,speed_02,3.5,peak_time_s:5.89
middlefinger_speed100_force500_20trials_20260303-174957.csv,500,speed100,5,speed_05,3.5,peak_force_g:-3.96;overshoot_g:-3.96;peak_time_s:3.85
middlefinger_speed100_force500_20trials_20260303-174957.csv,500,speed100,15,speed_15,3.5,peak_force_g:-3.84;overshoot_g:-3.84
middlefinger_speed250_force500_20trials_20260303-173758.csv,500,speed250,1,speed_01,3.5,peak_force_g:-9.30;overshoot_g:-9.30
middlefinger_speed250_force500_20trials_20260303-173758.csv,500,speed250,5,speed_05,3.5,peak_force_g:-7.82;overshoot_g:-7.82;peak_time_s:-3.93
middlefinger_speed250_force500_20trials_20260303-173758.csv,500,speed250,13,speed_13,3.5,peak_time_s:6.27
middlefinger_speed250_force500_20trials_20260303-173758.csv,500,speed250,14,speed_14,3.5,peak_force_g:-7.56;overshoot_g:-7.56;peak_time_s:-4.16
middlefinger_speed500_force500_20trials_20260303-172840.csv,500,speed500,9,speed_09,3.5,peak_time_s:4.36
middlefinger_speed500_force500_20trials_20260303-172840.csv,500,speed500,14,speed_14,3.5,peak_time_s:4.01
middlefinger_speed500_force500_20trials_20260303-172840.csv,500,speed500,16,speed_16,3.5,peak_time_s:5.22
middlefinger_speed500_force500_20trials_20260303-172840.csv,500,speed500,20,speed_20,3.5,peak_force_g:-11.63;overshoot_g:-11.63
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,3,speed_03,3.5,onset_angle:-6.07
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,4,speed_04,3.5,onset_angle:-8.09
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,7,speed_07,3.5,onset_angle:-6.07
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,8,speed_08,3.5,onset_angle:-6.07
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,11,speed_11,3.5,peak_time_s:12.83
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,12,speed_12,3.5,onset_angle:-6.07
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,13,speed_13,3.5,peak_force_g:-21.08;overshoot_g:-21.08
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,14,speed_14,3.5,onset_angle:-6.07;peak_force_g:-4.16;overshoot_g:-4.16
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,15,speed_15,3.5,onset_angle:-6.07
middlefinger_speed750_force500_20trials_20260303-171840.csv,500,speed750,17,speed_17,3.5,onset_angle:-6.07;peak_time_s:10.61
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,1,speed_01,3.5,peak_force_g:-4.38;overshoot_g:-4.38
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,2,speed_02,3.5,onset_angle:6.75;peak_time_s:4.37
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,3,speed_03,3.5,peak_time_s:7.19
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,4,speed_04,3.5,onset_angle:6.30
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,5,speed_05,3.5,onset_angle:6.30;peak_force_g:3.84;overshoot_g:3.84
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,11,speed_11,3.5,onset_angle:6.30
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,14,speed_14,3.5,onset_angle:6.30;peak_time_s:6.08
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,16,speed_16,3.5,peak_time_s:7.64
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,17,speed_17,3.5,peak_time_s:3.62
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,18,speed_18,3.5,onset_angle:6.30
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,19,speed_19,3.5,onset_angle:6.30
middlefinger_speed1000_force500_20trials_20260303-165337.csv,500,speed1000,20,speed_20,3.5,onset_angle:6.30
middlefinger_hybrid_force750_20trials_20260303-184632.csv,750,hybrid,8,hybrid_08,3.5,peak_time_s:9.92
middlefinger_hybrid_force750_20trials_20260303-184632.csv,750,hybrid,13,hybrid_13,3.5,peak_time_s:5.76
middlefinger_speed50_force750_20trials_20260303-175838.csv,750,speed50,4,speed_04,3.5,peak_time_s:7.88
middlefinger_speed50_force750_20trials_20260303-175838.csv,750,speed50,8,speed_08,3.5,peak_time_s:8.69
middlefinger_speed100_force750_20trials_20260303-174453.csv,750,speed100,6,speed_06,3.5,peak_force_g:-5.27;overshoot_g:-5.27
middlefinger_speed100_force750_20trials_20260303-174453.csv,750,speed100,11,speed_11,3.5,peak_time_s:6.08
middlefinger_speed100_force750_20trials_20260303-174453.csv,750,speed100,17,speed_17,3.5,peak_force_g:-4.96;overshoot_g:-4.96
middlefinger_speed250_force750_20trials_20260303-173609.csv,750,speed250,1,speed_01,3.5,peak_time_s:5.77
middlefinger_speed250_force750_20trials_20260303-173609.csv,750,speed250,5,speed_05,3.5,onset_angle:37.77
middlefinger_speed250_force750_20trials_20260303-173609.csv,750,speed250,7,speed_07,3.5,onset_angle:37.77;peak_time_s:3.59
middlefinger_speed250_force750_20trials_20260303-173609.csv,750,speed250,8,speed_08,3.5,onset_angle:5.40;peak_force_g:-13.72;overshoot_g:-13.72;peak_time_s:4.33
middlefinger_speed250_force750_20trials_20260303-173609.csv,750,speed250,10,speed_10,3.5,onset_angle:5.40;peak_time_s:4.37
middlefinger_speed250_force750_20trials_20260303-173609.csv,750,speed250,14,speed_14,3.5,onset_angle:37.77
middlefinger_speed250_force750_20trials_20260303-173609.csv,750,speed250,17,speed_17,3.5,onset_angle:-37.77;peak_force_g:-17.01;overshoot_g:-17.01;peak_time_s:-9.50
middlefinger_speed500_force750_20trials_20260303-172456.csv,750,speed500,2,speed_02,3.5,peak_time_s:6.81
middlefinger_speed500_force750_20trials_20260303-172456.csv,750,speed500,5,speed_05,3.5,peak_force_g:-12.75;overshoot_g:-12.75
middlefinger_speed500_force750_20trials_20260303-172456.csv,750,speed500,7,speed_07,3.5,peak_force_g:-13.28;overshoot_g:-13.28
middlefinger_speed500_force750_20trials_20260303-172456.csv,750,speed500,9,speed_09,3.5,peak_force_g:-13.80;overshoot_g:-13.80
middlefinger_speed500_force750_20trials_20260303-172456.csv,750,speed500,17,speed_17,3.5,peak_time_s:7.79
middlefinger_speed500_force750_20trials_20260303-172456.csv,750,speed500,20,speed_20,3.5,peak_time_s:6.88
middlefinger_speed750_force750_20trials_20260303-171706.csv,750,speed750,17,speed_17,3.5,peak_force_g:-5.52;overshoot_g:-5.52
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,2,speed_02,3.5,peak_force_g:-3.82;overshoot_g:-3.82
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,3,speed_03,3.5,peak_time_s:3.60
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,4,speed_04,3.5,onset_angle:6.52
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,5,speed_05,3.5,onset_angle:6.52;peak_force_g:4.72;overshoot_g:4.72
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,6,speed_06,3.5,peak_time_s:8.77
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,8,speed_08,3.5,onset_angle:6.52;peak_time_s:20.14
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,9,speed_09,3.5,peak_time_s:5.50
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,12,speed_12,3.5,onset_angle:6.07
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,13,speed_13,3.5,onset_angle:6.07
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,14,speed_14,3.5,onset_angle:6.07
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,15,speed_15,3.5,onset_angle:6.52
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,16,speed_16,3.5,peak_force_g:-5.17;overshoot_g:-5.17
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,17,speed_17,3.5,onset_angle:6.52;peak_force_g:-17.76;overshoot_g:-17.76
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,18,speed_18,3.5,peak_force_g:-15.06;overshoot_g:-15.06
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,19,speed_19,3.5,onset_angle:6.07;peak_force_g:-10.34;overshoot_g:-10.34
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,20,speed_20,3.5,peak_force_g:-4.95;overshoot_g:-4.95
middlefinger_hybrid_force1000_20trials_20260303-184313.csv,1000,hybrid,1,hybrid_01,3.5,onset_angle:-4.05;peak_time_s:11.83
middlefinger_hybrid_force1000_20trials_20260303-184313.csv,1000,hybrid,3,hybrid_03,3.5,onset_angle:-4.05
middlefinger_hybrid_force1000_20trials_20260303-184313.csv,1000,hybrid,6,hybrid_06,3.5,onset_angle:-5.40;peak_time_s:4.96
middlefinger_hybrid_force1000_20trials_20260303-184313.csv,1000,hybrid,10,hybrid_10,3.5,peak_time_s:4.21
middlefinger_speed25_force1000_20trials_20260303-180801.csv,1000,speed25,11,speed_11,3.5,peak_force_g:-4.57;overshoot_g:-4.57;peak_time_s:15.99
middlefinger_speed25_force1000_20trials_20260303-180801.csv,1000,speed25,12,speed_12,3.5,peak_time_s:15.41
middlefinger_speed25_force1000_20trials_20260303-180801.csv,1000,speed25,14,speed_14,3.5,peak_time_s:21.43
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,5,speed_05,3.5,peak_force_g:-4.93;overshoot_g:-4.93
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,8,speed_08,3.5,peak_force_g:-4.73;overshoot_g:-4.73
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,12,speed_12,3.5,peak_force_g:-5.57;overshoot_g:-5.57;peak_time_s:-4.61
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,14,speed_14,3.5,peak_time_s:5.52
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,18,speed_18,3.5,peak_force_g:-5.20;overshoot_g:-5.20
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,19,speed_19,3.5,peak_force_g:-4.97;overshoot_g:-4.97;peak_time_s:-4.47
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,20,speed_20,3.5,peak_time_s:8.01
middlefinger_speed100_force1000_20trials_20260303-174306.csv,1000,speed100,4,speed_04,3.5,peak_force_g:-4.45;overshoot_g:-4.45
middlefinger_speed100_force1000_20trials_20260303-174306.csv,1000,speed100,8,speed_08,3.5,peak_force_g:-7.19;overshoot_g:-7.19;peak_time_s:-9.00
middlefinger_speed100_force1000_20trials_20260303-174306.csv,1000,speed100,12,speed_12,3.5,peak_force_g:-6.61;overshoot_g:-6.61;peak_time_s:-9.33
middlefinger_speed100_force1000_20trials_20260303-174306.csv,1000,speed100,18,speed_18,3.5,onset_angle:-4.72
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,3,speed_03,3.5,onset_angle:5.40
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,4,speed_04,3.5,onset_angle:5.40
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,9,speed_09,3.5,peak_time_s:10.70
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,10,speed_10,3.5,onset_angle:5.40
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,12,speed_12,3.5,onset_angle:5.40
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,13,speed_13,3.5,peak_force_g:-5.32;overshoot_g:-5.32;peak_time_s:-5.10
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,17,speed_17,3.5,onset_angle:6.17;peak_time_s:5.64
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,19,speed_19,3.5,peak_force_g:-5.84;overshoot_g:-5.84;peak_time_s:8.78
middlefinger_speed500_force1000_20trials_20260303-172317.csv,1000,speed500,6,speed_06,3.5,peak_time_s:4.39
middlefinger_speed500_force1000_20trials_20260303-172317.csv,1000,speed500,7,speed_07,3.5,peak_time_s:4.11
middlefinger_speed500_force1000_20trials_20260303-172317.csv,1000,speed500,9,speed_09,3.5,peak_force_g:-6.58;overshoot_g:-6.58
middlefinger_speed500_force1000_20trials_20260303-172317.csv,1000,speed500,16,speed_16,3.5,peak_force_g:-7.05;overshoot_g:-7.05
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,2,speed_02,3.5,onset_angle:-6.75;peak_time_s:4.27
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,3,speed_03,3.5,onset_angle:-7.42
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,5,speed_05,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,8,speed_08,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,9,speed_09,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,11,speed_11,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,16,speed_16,3.5,onset_angle:-6.75;peak_force_g:-8.35;overshoot_g:-8.35
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,17,speed_17,3.5,peak_force_g:-10.12;overshoot_g:-10.12
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,18,speed_18,3.5,peak_force_g:-3.68;overshoot_g:-3.68;peak_time_s:28.58
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,19,speed_19,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,20,speed_20,3.5,peak_force_g:-9.70;overshoot_g:-9.70
middlefinger_speed1000_force1000_20trials_20260303-170435.csv,1000,speed1000,8,speed_08,3.5,peak_force_g:-6.00;overshoot_g:-6.00
middlefinger_speed1000_force1000_20trials_20260303-170435.csv,1000,speed1000,10,speed_10,3.5,peak_force_g:-4.28;overshoot_g:-4.28
middlefinger_speed1000_force1000_20trials_20260303-170435.csv,1000,speed1000,11,speed_11,3.5,peak_time_s:4.42
